"Time (s)","Fx (N)","Fy (N)","Fz (N)","Tx (Nm)","Ty (Nm)","Tz (Nm)","AI7 (V)","AI8 (V)"
0.077500,0.012283,0.015207,-0.023443,-0.000940,0.000113,-0.000077,0.002838,-0.001053
0.078000,-0.005804,0.007155,-0.006000,-0.000737,0.000023,-0.000056,0.003487,0.001866
0.078500,0.010280,0.018661,0.007027,-0.000963,0.000038,0.000008,0.002838,-0.000080
0.079000,0.006314,0.026067,0.001210,-0.000497,0.000246,0.000182,0.003487,0.005757
0.079500,0.006324,0.023440,0.007680,-0.000608,-0.000525,0.000062,0.003487,-0.000080
0.080000,0.012345,0.034252,-0.019259,-0.000648,0.000377,0.000157,0.003811,0.002514
0.080500,-0.003759,0.015572,-0.025810,-0.000460,0.000089,0.000004,0.003163,0.001217
0.081000,-0.007772,0.020142,-0.009022,-0.000807,0.000167,0.000060,0.002514,0.003163
0.081500,-0.005848,0.012043,0.004273,-0.000193,0.000097,-0.000079,0.004136,0.003811
0.082000,-0.017822,0.009688,-0.008755,-0.000763,0.000228,0.000054,0.002838,0.003487
0.082500,0.006239,0.014125,0.007264,-0.000516,-0.000107,-0.000049,0.002838,0.004460
0.083000,-0.009827,-0.000035,0.007309,-0.001053,-0.000004,-0.000061,0.003811,0.001866
0.083500,0.000228,0.031679,-0.006248,-0.000893,-0.000020,-0.000048,0.003487,0.004460
0.084000,0.010223,0.004868,-0.006384,-0.000427,0.000343,-0.000075,0.002514,0.000568
0.084500,0.004327,0.027119,0.004613,-0.000539,-0.000212,0.000149,0.002514,0.003487
0.085000,0.018244,0.021347,-0.023427,-0.000252,0.000400,-0.000123,0.003487,0.001541
0.085500,-0.009794,0.014284,-0.005660,-0.000743,0.000125,0.000029,0.003163,0.003811
0.086000,0.010264,0.011773,-0.023339,-0.000816,0.000207,-0.000078,0.003163,0.005109
0.086500,-0.007831,-0.000949,0.007661,-0.000494,0.000144,-0.000028,0.003811,-0.002350
0.087000,-0.009786,0.021213,-0.016027,-0.001178,0.000293,0.000030,0.001866,0.001866
0.087500,0.010372,0.018897,-0.008977,-0.000680,-0.000020,0.000177,0.002838,-0.000729
0.088000,0.012278,0.017332,-0.010238,-0.001117,-0.000273,-0.000136,0.002514,0.003811
0.088500,0.014354,0.025922,-0.005938,-0.000831,0.000397,0.000183,0.002190,0.001541
0.089000,-0.003782,0.003657,-0.012683,-0.000663,-0.000043,-0.000057,0.002514,0.002838
0.089500,-0.015777,0.029761,0.011958,-0.000605,0.000453,0.000261,0.001541,0.002514
0.090000,0.008242,0.017779,-0.002747,-0.000311,0.000044,-0.000046,0.002514,0.000893
0.090500,-0.015806,0.013194,0.008163,-0.000789,0.000352,0.000142,0.002838,0.000893
0.091000,0.010243,0.016406,-0.003166,-0.000649,-0.000046,-0.000104,0.002514,0.002514
0.091500,-0.007934,-0.015267,0.030366,-0.000757,0.000262,-0.000200,0.002838,0.003163
0.092000,-0.015839,0.027105,0.014480,-0.000999,0.000238,0.000060,0.003163,0.000568
0.092500,0.000203,0.006039,0.000651,-0.000602,0.000290,-0.000023,0.003163,0.003163
0.093000,0.010250,0.023352,0.013726,-0.000564,-0.000410,-0.000104,0.002190,0.004136
0.093500,0.018348,0.021346,-0.032998,-0.000440,0.000237,0.000042,0.002514,0.003163
0.094000,-0.003789,0.013022,0.000797,-0.000659,-0.000020,-0.000025,0.003811,0.001217
0.094500,0.006238,0.011713,-0.003052,-0.000766,-0.000020,-0.000079,0.002190,0.000893
0.095000,-0.011730,0.001593,0.005317,-0.000475,0.000220,0.000253,0.002838,0.004460
0.095500,-0.013745,0.018968,-0.032383,-0.001095,0.000096,0.000082,0.002190,0.000568
0.096000,0.008203,0.022310,0.003561,-0.000429,-0.000150,-0.000159,0.003163,0.000893
0.096500,0.000236,-0.001406,-0.003187,-0.001209,-0.000307,-0.000118,0.002190,0.000893
0.097000,0.000254,0.026942,0.017565,-0.000913,-0.000075,0.000063,0.004136,0.002514
0.097500,0.004192,0.003632,-0.009814,-0.000573,0.000187,-0.000136,0.002514,0.002514
0.098000,-0.001718,0.028391,0.018268,-0.000526,0.000096,0.000207,0.002838,0.002838
0.098500,0.010172,0.018885,0.006794,-0.000353,0.000280,-0.000155,0.002838,0.003487
0.099000,-0.023845,0.024916,0.011646,-0.000818,0.000172,0.000113,0.003811,-0.000080
0.099500,0.002122,0.021119,-0.013704,-0.000671,0.000083,-0.000302,0.002838,0.004136
0.100000,-0.016027,-0.003466,0.026860,-0.000693,0.000359,-0.000311,0.004136,0.000893
0.100500,-0.003862,0.024536,0.010121,-0.001115,0.000228,-0.000134,0.003811,0.003811
0.101000,0.006230,0.023556,0.010652,-0.000512,0.000082,-0.000017,0.002190,0.002514
0.101500,0.016264,0.026641,0.006397,-0.000929,-0.000496,-0.000188,0.002190,0.003163
0.102000,0.022327,0.018733,-0.003226,-0.000734,0.000216,0.000015,0.002514,0.003487
0.102500,-0.001870,0.009341,0.013548,-0.000727,-0.000002,-0.000194,0.003487,0.000568
0.103000,-0.005827,0.009480,0.003940,-0.000910,0.000354,-0.000025,0.000893,0.003811
0.103500,-0.007862,0.022566,0.004182,-0.000371,0.000189,-0.000076,0.001866,0.000893
0.104000,-0.015879,0.008303,-0.002759,-0.001055,0.000276,-0.000087,0.002190,0.003487
0.104500,0.000149,0.019982,-0.003244,-0.000674,0.000093,-0.000190,0.003163,0.000893
0.105000,-0.011877,-0.001286,0.000203,-0.001109,-0.000128,-0.000204,0.002514,0.003163
0.105500,0.008308,0.036453,-0.012790,-0.000916,0.000291,0.000098,0.002838,0.001866
0.106000,-0.003857,0.013096,-0.016412,-0.000475,0.000090,-0.000193,0.002190,0.000568
0.106500,0.002252,0.032956,0.031334,-0.000410,-0.000151,0.000097,0.002514,0.004136
0.107000,0.020188,0.027080,-0.020663,-0.000366,0.000416,-0.000262,0.001541,-0.000080
0.107500,-0.011910,0.008307,0.013935,-0.000633,0.000055,-0.000168,0.002514,0.003163
0.108000,0.000078,0.008198,-0.010569,-0.000832,0.000377,-0.000333,0.001541,0.000568
0.108500,0.000148,0.001237,0.027285,-0.000578,0.000263,-0.000079,0.003811,0.003163
0.109000,-0.003892,0.015154,-0.006998,-0.001121,0.000261,-0.000250,0.001866,0.002190
0.109500,0.006217,0.016356,0.037448,-0.000594,-0.000110,-0.000019,0.002838,0.001217
