"Time (s)","Fx (N)","Fy (N)","Fz (N)","Tx (Nm)","Ty (Nm)","Tz (Nm)","AI7 (V)","AI8 (V)"
0.047000,0.025153,-0.003832,-0.028784,0.000285,-0.000257,-0.000260,0.002838,0.001866
0.047500,0.001143,-0.005740,-0.017035,0.000528,-0.000040,0.000044,0.002514,0.003811
0.048000,-0.010907,-0.005841,-0.030584,0.000153,-0.000242,-0.000049,0.004136,-0.002026
0.048500,-0.002920,0.022266,0.002883,0.000442,-0.000278,-0.000035,0.003163,0.004136
0.049000,0.011184,0.006742,0.002376,-0.000255,0.000069,0.000077,0.003487,0.004460
0.049500,0.009178,0.012847,-0.007237,0.000481,-0.000342,0.000022,0.001217,0.002190
0.050000,-0.025003,-0.011584,-0.006712,0.000134,0.000114,0.000005,0.003163,0.003487
0.050500,-0.012909,0.004701,-0.017032,-0.000022,-0.000042,0.000039,0.002838,-0.000080
0.051000,-0.018924,0.006129,-0.002925,0.000275,0.000263,0.000183,0.002838,0.003487
0.051500,0.007162,0.011545,-0.014382,-0.000230,0.000202,0.000049,0.003487,-0.001702
0.052000,0.001140,-0.008310,-0.003855,0.000233,-0.000258,0.000012,0.002838,0.001866
0.052500,0.001156,-0.027235,0.002740,-0.000101,-0.000275,0.000033,0.003487,0.003163
0.053000,-0.018909,-0.003385,-0.033545,-0.000016,0.000025,0.000062,0.002190,0.001217
0.053500,-0.000901,-0.009401,-0.024289,0.000085,0.000171,-0.000043,0.001866,0.003163
0.054000,0.021064,-0.003693,-0.012030,0.000385,0.000316,-0.000255,0.002514,0.001217
0.054500,0.011164,-0.007006,-0.027663,0.000374,0.000154,-0.000009,0.002514,0.000893
0.055000,0.015137,-0.000304,-0.014914,0.000170,-0.000339,-0.000179,0.003163,0.003163
0.055500,-0.006987,0.005657,-0.007928,-0.000209,0.000091,-0.000155,0.002838,-0.000080
0.056000,0.015173,-0.004937,-0.051981,-0.000187,0.000028,-0.000153,0.002514,0.004460
0.056500,0.005084,0.010634,-0.014221,0.000611,0.000040,-0.000089,0.002514,0.001541
0.057000,-0.000936,-0.002383,-0.034609,0.000352,-0.000247,-0.000212,0.003811,0.002190
0.057500,0.011168,0.006754,-0.014538,0.000116,-0.000484,-0.000095,0.002838,0.006730
0.058000,-0.012970,0.002265,-0.007358,-0.000035,-0.000041,-0.000074,0.002838,0.002190
0.058500,0.005139,-0.001369,-0.021158,-0.000018,-0.000169,-0.000070,0.002514,0.001217
0.059000,-0.016866,-0.009040,-0.019436,0.000474,0.000036,0.000205,0.003163,0.002838
0.059500,-0.012860,-0.011639,-0.030146,0.000079,-0.000146,0.000089,0.003487,0.000893
0.060000,-0.004871,0.009464,-0.010216,0.000236,0.000045,0.000102,0.001866,0.001866
0.060500,0.005325,0.015347,-0.026421,0.000029,0.000015,0.000385,0.002514,-0.001702
0.061000,-0.002869,0.003616,-0.013626,0.000345,0.000008,0.000073,0.003487,0.002190
0.061500,-0.022992,-0.022270,-0.000173,-0.000063,0.000081,0.000001,0.003487,0.000568
0.062000,-0.014957,-0.005871,-0.010444,0.000111,-0.000138,-0.000049,0.002190,-0.000404
0.062500,-0.008962,-0.002194,0.003052,0.000320,0.000430,0.000046,0.001541,0.002838
0.063000,0.023173,0.004419,0.001908,0.000102,0.000164,-0.000029,0.003163,-0.003972
0.063500,-0.000956,-0.004605,-0.000663,0.000536,0.000190,-0.000066,0.002838,0.001217
0.064000,-0.000916,-0.021375,-0.007805,-0.000166,-0.000098,-0.000106,0.002838,0.003487
0.064500,-0.022874,-0.005642,-0.026262,0.000024,0.000019,0.000201,0.001541,0.001866
0.065000,-0.004973,-0.016414,-0.014324,0.000238,0.000195,-0.000129,0.001541,0.003163
0.065500,0.015151,0.011597,-0.038355,0.000090,0.000128,-0.000117,0.002838,-0.002999
0.066000,0.001070,-0.003451,-0.024377,0.000349,0.000238,-0.000095,0.003487,0.001866
0.066500,0.003174,-0.007305,-0.044709,-0.000240,-0.000427,-0.000106,0.003163,0.001541
0.067000,-0.014892,0.001143,-0.044106,-0.000466,0.000171,0.000035,0.001541,0.001541
0.067500,0.007167,0.002230,-0.051494,-0.000144,0.000070,-0.000069,0.002514,0.005109
0.068000,-0.004888,0.000237,-0.043941,0.000464,0.000105,-0.000013,0.003163,0.002190
0.068500,-0.011002,-0.003509,-0.027812,0.000118,0.000116,-0.000186,0.002838,0.001541
0.069000,0.001182,0.003482,-0.037383,0.000243,-0.000453,-0.000016,0.002514,0.001217
0.069500,-0.012957,0.016257,-0.024439,-0.000481,0.000153,-0.000071,0.003163,0.000893
0.070000,0.007138,0.002165,-0.007614,0.000236,-0.000323,-0.000068,0.002514,0.001866
0.070500,-0.011000,-0.008018,-0.003747,0.000569,0.000221,-0.000070,0.003487,-0.001377
0.071000,-0.025004,-0.006862,-0.016838,0.000157,0.000113,-0.000022,0.003487,0.002514
0.071500,-0.002921,0.005910,0.013140,0.000547,-0.000107,0.000019,0.002838,0.001217
0.072000,0.009177,0.008017,-0.010966,-0.000108,0.000052,0.000048,0.003163,-0.001377
0.072500,-0.000939,0.002316,0.002648,0.000384,-0.000032,-0.000066,0.002838,0.002838
0.073000,-0.008915,-0.023438,-0.007029,0.000112,0.000111,0.000035,0.003811,-0.001053
0.073500,-0.020885,-0.006923,-0.023192,-0.000079,-0.000046,0.000144,0.003163,0.000244
0.074000,-0.004869,0.000209,-0.006614,0.000424,0.000240,0.000158,0.001866,0.002190
0.074500,0.005212,0.008228,-0.023785,0.000176,-0.000038,0.000131,0.003163,-0.000080
0.075000,-0.002789,-0.015127,-0.026682,0.000246,-0.000093,0.000177,0.003163,-0.001377
0.075500,-0.002911,-0.027376,-0.011312,-0.000433,-0.000274,-0.000140,0.003163,-0.000729
0.076000,-0.026923,-0.003423,-0.023260,-0.000339,0.000156,0.000143,0.002514,0.003163
0.076500,-0.002822,-0.003477,-0.047391,-0.000073,0.000073,0.000067,0.001866,0.002190
0.077000,0.009171,0.003590,-0.037640,0.000382,0.000079,-0.000008,0.001866,0.000568
0.077500,0.007183,-0.009375,-0.020619,0.000364,-0.000099,0.000043,0.002190,0.004460
0.078000,0.011073,-0.005105,-0.022094,-0.000045,-0.000366,-0.000324,0.002190,-0.002026
0.078500,-0.012894,-0.000118,-0.037509,-0.000380,-0.000117,-0.000023,0.002514,0.003811
0.079000,0.015123,-0.007370,-0.042204,-0.000107,-0.000138,-0.000267,0.003811,-0.001702
0.079500,0.003139,-0.004550,-0.023899,0.000532,0.000059,0.000017,0.003811,-0.001053
0.080000,-0.004916,-0.002318,-0.044448,0.000166,-0.000056,-0.000130,0.003811,0.002838
0.080500,0.005235,0.008162,-0.030536,0.000034,-0.000174,0.000129,0.004136,-0.002026
0.081000,0.005217,0.008179,-0.034055,-0.000107,0.000132,0.000130,0.004460,0.000568
0.081500,0.015297,0.004716,-0.043968,0.000338,-0.000259,0.000131,0.003487,-0.000404
0.082000,-0.018954,-0.014986,-0.026784,0.000393,0.000080,0.000006,0.003487,0.000568
0.082500,-0.008877,0.004792,-0.023582,0.000304,-0.000205,0.000040,0.004460,0.001541
0.083000,-0.002856,0.015286,0.003309,0.000315,-0.000109,0.000132,0.003163,0.000568
0.083500,0.007225,0.011649,-0.000250,0.000010,0.000059,0.000218,0.003163,0.002514
