"Time (s)","Fx (N)","Fy (N)","Fz (N)","Tx (Nm)","Ty (Nm)","Tz (Nm)","AI7 (V)","AI8 (V)"
0.420000,-0.021501,-0.009328,-0.059186,-0.000130,-0.000049,0.000339,0.003163,-0.002674
0.425000,-0.019542,-0.003820,-0.039728,-0.000478,-0.000391,0.000197,0.002838,-0.000729
0.430000,-0.011499,-0.003746,-0.083742,-0.000441,-0.000295,0.000114,0.002190,-0.002674
0.435000,-0.033491,-0.011587,-0.051727,-0.000180,-0.000173,0.000473,0.001866,-0.001702
0.440000,-0.009414,-0.005047,-0.059817,-0.000678,-0.000444,0.000309,0.001866,0.002190
0.445000,0.014639,-0.009991,-0.077760,-0.000581,-0.000716,0.000089,0.002514,-0.000729
0.450000,-0.029372,-0.018778,-0.075176,-0.000599,-0.000463,0.000551,0.003163,0.002514
0.455000,-0.025469,0.000074,-0.062237,-0.000359,0.000028,0.000452,0.001866,0.002514
0.460000,0.004655,0.001102,-0.076397,0.000051,-0.000341,0.000348,0.002514,0.000244
0.465000,-0.013410,-0.016384,-0.069171,-0.000171,-0.000091,0.000422,0.001866,0.004136
0.470000,-0.019431,-0.008458,-0.079692,-0.000741,-0.000466,0.000303,0.002190,0.004460
0.475000,0.024729,-0.001712,-0.043599,-0.000252,-0.000674,0.000324,0.003811,0.001541
0.480000,-0.019462,-0.015518,-0.062973,-0.000729,-0.000327,0.000303,0.004136,0.000244
0.485000,-0.021367,0.007277,-0.098805,-0.000232,-0.000053,0.000537,0.002190,0.003811
0.490000,0.022717,0.011521,-0.060005,0.000194,-0.000395,0.000359,0.002190,-0.001053
0.495000,-0.007306,-0.010925,-0.052531,-0.000847,-0.000481,0.000532,0.002838,0.000244
0.500000,-0.011435,0.010465,-0.086566,-0.000411,-0.000164,0.000288,0.003163,0.001541
0.505000,0.006688,-0.000182,-0.066272,-0.000002,-0.000600,0.000375,0.004784,-0.002026
0.510000,-0.001254,-0.014264,-0.075856,-0.000448,-0.000544,0.000534,0.003163,-0.001702
0.515000,-0.019479,-0.001608,-0.073551,-0.001129,-0.000327,0.000220,0.002190,-0.000080
0.520000,0.002631,0.004217,-0.036465,-0.000538,-0.000575,0.000346,0.001541,-0.002674
0.525000,0.006718,-0.021756,-0.029608,-0.000816,-0.000779,0.000449,0.003487,-0.001377
0.530000,-0.003375,0.008065,-0.086632,-0.000473,-0.000126,0.000346,0.003163,-0.000729
0.535000,0.004596,0.007702,-0.033406,-0.000475,-0.000561,0.000264,0.003163,-0.001702
0.540000,-0.009446,-0.019097,-0.063328,-0.000519,-0.000467,0.000222,0.003163,0.000568
0.545000,-0.015399,0.001072,-0.079473,-0.000643,-0.000081,0.000424,0.002514,0.000568
0.550000,-0.003331,0.001203,-0.035181,0.000112,-0.000217,0.000602,0.002838,0.000244
0.555000,-0.001436,-0.021635,-0.077482,-0.000822,-0.000452,0.000109,0.002514,0.001866
0.560000,-0.009387,0.009005,-0.073262,-0.000795,-0.000558,0.000311,0.003163,0.001541
0.565000,-0.003329,0.005628,-0.052576,-0.000434,-0.000432,0.000485,0.002838,-0.000080
0.570000,-0.007360,-0.017880,-0.073020,-0.000607,-0.000478,0.000362,0.002838,0.003163
0.575000,-0.007504,0.005302,-0.047245,-0.000954,-0.000264,0.000145,0.002190,0.002514
0.580000,-0.007420,-0.010673,-0.039130,0.000047,-0.000463,0.000370,0.003163,0.000568
0.585000,-0.003403,-0.015877,-0.060452,-0.001069,-0.000552,0.000221,0.002838,0.000893
0.590000,-0.019476,0.021956,-0.066544,-0.000816,-0.000451,0.000257,0.002514,-0.001702
0.595000,0.008716,0.010109,-0.059863,-0.000466,-0.000805,0.000374,0.002838,-0.002350
0.600000,0.002725,-0.005059,-0.056078,-0.000541,-0.000654,0.000481,0.003163,-0.002999
0.605000,-0.009364,0.020797,-0.079830,-0.000826,-0.000452,0.000371,0.002190,-0.002350
0.610000,0.002680,0.016270,-0.052614,-0.000192,-0.000308,0.000493,0.002838,-0.001702
0.615000,-0.015397,-0.027336,-0.079862,-0.000983,-0.000396,0.000326,0.002514,-0.000080
0.620000,-0.015452,0.021977,-0.052988,-0.000767,-0.000283,0.000345,0.003811,-0.002999
0.625000,0.002680,0.018586,-0.056008,-0.000088,-0.000585,0.000435,0.003487,-0.000404
0.630000,-0.009387,-0.007530,-0.070045,-0.000929,-0.000688,0.000277,0.002838,0.000244
0.635000,-0.011459,0.017142,-0.043241,-0.000841,-0.000386,0.000288,0.002838,-0.001377
0.640000,0.014853,0.016516,-0.085518,0.000272,-0.000490,0.000664,0.001866,0.000568
0.645000,-0.007395,0.000602,-0.060120,-0.000934,-0.000786,0.000251,0.002838,0.001866
0.650000,-0.023443,0.010297,-0.089807,-0.000878,-0.000532,0.000277,0.003163,-0.000080
0.655000,0.018757,0.011474,-0.035965,0.000059,-0.000512,0.000526,0.002838,0.002838
0.660000,-0.005448,-0.016918,-0.046781,-0.000509,-0.000768,0.000166,0.002838,0.003811
0.665000,-0.017342,0.006894,-0.082538,-0.000893,-0.000180,0.000534,0.002838,0.000893
0.670000,0.000704,-0.001224,-0.042015,0.000095,-0.000459,0.000572,0.002838,0.002838
0.675000,-0.001501,0.001695,-0.037361,-0.000695,-0.000631,0.000061,0.002838,0.003163
0.680000,-0.019369,0.008174,-0.085825,-0.000698,-0.000115,0.000508,0.002838,-0.000404
0.685000,0.008650,0.026584,-0.016086,-0.000138,-0.000625,0.000414,0.002190,0.002514
0.690000,-0.015469,-0.029601,-0.066529,-0.000525,-0.000456,0.000216,0.003163,-0.000080
0.695000,-0.013465,0.025559,-0.053062,-0.000701,-0.000048,0.000349,0.002190,-0.002674
0.700000,-0.005377,-0.000428,-0.053005,-0.000422,-0.000997,0.000281,0.002514,-0.000080
0.705000,-0.007379,-0.008507,-0.083335,-0.000700,-0.000397,0.000308,0.002838,-0.000729
0.710000,-0.003413,0.012714,-0.069978,-0.000447,-0.000074,0.000321,0.002514,-0.002999
0.715000,-0.017365,-0.006949,-0.058434,0.000024,-0.000489,0.000535,0.003163,-0.001053
0.720000,0.002499,-0.000647,-0.040912,-0.000663,-0.000515,0.000035,0.002514,-0.002674
0.725000,-0.005454,0.030076,-0.033243,-0.000727,-0.000180,0.000325,0.002514,-0.002026
0.730000,-0.003378,0.026798,-0.059569,-0.000371,-0.000247,0.000409,0.002514,0.001866
0.735000,-0.003516,0.002889,-0.050924,-0.000831,-0.000480,0.000032,0.001866,0.001217
0.740000,0.000532,0.033514,-0.050607,-0.000669,-0.000352,0.000157,0.003487,-0.001377
